iter	Passed	Remaining
0	1	187
1	3	175
2	5	172
3	6	154
4	8	153
5	9	153
6	11	152
7	13	151
8	14	150
9	16	148
10	18	149
11	20	150
12	22	152
13	25	154
14	27	155
15	29	154
16	31	152
17	33	151
18	35	150
19	38	155
20	40	153
21	42	151
22	45	150
23	47	148
24	49	147
25	51	145
26	53	144
27	55	142
28	57	140
29	59	138
30	61	136
31	63	134
32	65	132
33	67	130
34	69	128
35	71	126
36	73	124
37	75	122
38	77	120
39	79	118
40	81	117
41	81	112
42	83	110
43	85	109
44	87	107
45	89	105
46	92	104
47	94	101
48	96	100
49	98	98
50	99	96
51	102	94
52	103	92
53	105	89
54	106	87
55	108	84
56	109	82
57	111	81
58	113	79
59	115	76
60	116	74
61	118	72
62	120	70
63	122	68
64	124	66
65	125	64
66	127	62
67	129	60
68	131	58
69	132	56
70	134	54
71	135	52
72	137	50
73	139	48
74	140	46
75	141	44
76	142	42
77	143	40
78	144	38
79	146	36
80	148	34
81	150	32
82	152	31
83	153	29
84	155	27
85	158	25
86	160	23
87	162	22
88	164	20
89	166	18
90	167	16
91	169	14
92	183	13
93	185	11
94	187	9
95	205	8
96	207	6
97	209	4
98	211	2
99	213	0
